Nom Magasin,Visiteurs,Sessions,Taux de rebond,Commandes
Aux Docks de Clamart - Clamart - E-commerce,58074,71648,0.4479957570343904,79
Sefor - Houilles - E-commerce,31772,44195,0.3389976241656296,73
Boulard Verdier - Clermont-Ferrand - E-commerce,21832,34887,0.23048700088858315,69
Cazorro Matériaux - Portet-sur-Garonne - E-commerce,21114,28046,0.3656849461598802,35
Lesimple - Les Sorinières - E-commerce,20504,28589,0.3306166707474903,55
Labenne Rougier - Pessac - E-commerce,15556,20164,0.364114263043047,16
Derrey - Laneuveville-devant-Nancy - E-commerce,12386,17086,0.3402200632096453,19
Bruhy Vacherand - Saint-Quentin - E-commerce,11493,17487,0.17327157316863956,25
Matériaux Normands - Bosgouet - E-commerce,11300,15967,0.29654913258595855,21
Imbert - Fourmies - E-commerce,10789,20942,0.23574634705376754,48
Labenne Rougier - Villenave-dOrnon - E-commerce,10756,18194,0.21325711773112016,0
Matériaux Normands - Totes - E-commerce,10006,16820,0.1826397146254459,28
Favre dAnne - Détrier - E-commerce,9661,14153,0.35469511764290257,0
Matériaux Picards - Villers-Bretonneux - E-commerce,9604,13843,0.2438055334826266,16
Matériaux Normands - Sainte-Marie-des-Champs - E-commerce,9331,13766,0.24473340113322678,26
Millancourt et Nicolas - Eu - E-commerce,9112,17068,0.1501054605108976,14
Trichet - Hirson - E-commerce,8992,17521,0.21362935905484848,28
Raynal - Riom - E-commerce,8897,16803,0.19175147295125872,41
Dumeil - Issoire - E-commerce,8589,16087,0.18033194504879715,22
Castelli - Porto Vecchio - E-commerce,8405,15614,0.2072499039323684,27
Charroin - Brignais - E-commerce,7821,10582,0.23634473634473635,38
Favre dAnne - Thônes - E-commerce,7795,13538,0.27936179642487813,0
Dufrançais - Thiers - E-commerce,7408,13422,0.18588883921919236,24
Bracq - Cambrai - E-commerce,7119,10686,0.15618566348493357,0
Favre dAnne - Faverges - E-commerce,6950,12135,0.25603625875566544,0
Farel Clavel - Avignon - E-commerce,6874,9296,0.25688468158347677,11
Lesimple - Treillières - E-commerce,6873,9926,0.2070320370743502,28
Granville Matériaux - Saint-Pair-sur-Mer - E-commerce,6544,9813,0.24457352491592785,17
Matériaux Picards - Montdidier - E-commerce,6530,12370,0.16790622473726757,22
Labenne Rougier - Tresses - E-commerce,6389,9340,0.2568522483940043,12
Boulard Verdier - La Roche-Blanche - E-commerce,5798,10405,0.1821239788563191,20
Mudry Lombard - Margencel - E-commerce,5620,9144,0.1624015748031496,21
Millancourt et Nicolas - Neufchâtel-en-Bray - E-commerce,5611,10874,0.1736251609343388,22
Jacq - Quimper - E-commerce,5577,7688,0.2571540062434964,14
François Matériaux - Bessières - E-commerce,5546,7561,0.30670546224044437,9
Boulard Verdier - Pérignat-sur-Allier - E-commerce,5198,7586,0.27155286053256,5
Durruty Matériaux -  Saint-Paul-lès-Dax - E-commerce,5153,7404,0.21204754186925986,19
Lesimple - Corcoué-sur-Logne - E-commerce,5111,7342,0.2818033233451376,16
Dufrançais - Billom - E-commerce,5095,8988,0.18057409879839786,9
Labenne Rougier - Avensan - E-commerce,5007,8512,0.20982142857142858,17
Labenne Rougier - Vendays-Montalivet - E-commerce,4992,9177,0.2203334423014057,25
Farel Clavel - Carpentras - E-commerce,4972,7825,0.1840255591054313,5
Lesimple - Blain - E-commerce,4944,7014,0.23339036213287712,21
Gabriel - Grenay - E-commerce,4936,7432,0.301264800861141,16
Jacq - Châteauneuf-du-Faou - E-commerce,4873,7584,0.24736286919831224,14
Feignies - Feignies - E-commerce,4814,8434,0.17939293336495138,17
Derrey - Épinal - E-commerce,4783,8213,0.2061366126872032,21
Millancourt et Nicolas - Friville-Escarbotin - E-commerce,4720,8411,0.1537272619189157,5
Millancourt et Nicolas - Oisemont - E-commerce,4670,8346,0.15827941528876108,8
Favre dAnne - Frontenex - E-commerce,4626,7249,0.26996827148572217,0
Labenne Rougier - Pugnac - E-commerce,4550,7978,0.2524442216094259,25
Dumeil - Brioude - E-commerce,4472,8844,0.1622568973315242,14
Durruty Matériaux - Bayonne - E-commerce,4359,6021,0.28417206444112275,13
Delmonico Dorel - Pierrelatte - E-commerce,4300,7229,0.17775625951030571,22
Brunel - Lunel - E-commerce,4272,5998,0.2335778592864288,13
Pagani Distribution - Oyonnax - E-commerce,4112,7237,0.16913085532679287,20
Lesimple - Gétigné - E-commerce,4109,6083,0.19217491369390102,23
Borgo Matériaux - Borgo - E-commerce,4026,6156,0.21621182586094867,11
Unibois - Lure - E-commerce,4022,6293,0.20117590974098204,8
François Matériaux - Villefranche-de-Rouergue - E-commerce,3918,6546,0.1912618392911702,10
Millancourt et Nicolas - Gamaches - E-commerce,3830,7208,0.15288568257491675,6
Labenne Rougier - Lège - E-commerce,3807,6388,0.23262366938008766,19
Derrey - Sainte-Marguerite - E-commerce,3750,6848,0.1953855140186916,11
Charbonnier - Charolles - E-commerce,3701,6259,0.17878255312350216,3
François Matériaux - La Primaube - E-commerce,3699,6430,0.17511664074650077,7
Cazorro Matériaux - Auterive - E-commerce,3695,5519,0.2013045841637978,14
Lesimple - Pouzauges - E-commerce,3647,5206,0.20072992700729927,10
Moreau Matériaux - Saint-Maurice-les-Brousses - E-commerce,3538,4335,0.46089965397923877,0
Labenne Rougier - Parentis-en-Born - E-commerce,3496,5989,0.24027383536483554,14
Farel Clavel - LIsle-sur-la-Sorgue - E-commerce,3472,4790,0.24425887265135698,0
François Matériaux - Millau - E-commerce,3388,5884,0.20581237253569,7
GCCO - Autun - E-commerce,3351,5270,0.17590132827324478,10
Joly - Pierre-de-Bresse - E-commerce,3241,4637,0.2594349795126159,8
Labenne Rougier - Langon - E-commerce,3230,5052,0.24841646872525733,5
Labenne Rougier - Fronsac - E-commerce,3224,4598,0.30078294910830794,6
