CodeTellus,Sessions,Visiteurs
30284654,292,267
24705479,199,186
30361012,174,162
24094429,150,139
27808849,139,122
21442988,138,125
30362030,138,127
30026386,131,114
24690461,105,102
29013524,103,99
28913603,100,92
26430348,98,94
26865768,91,67
24548106,87,80
27808788,82,78
24644822,81,73
25065831,81,76
21480713,80,80
27513408,80,74
27008713,77,74
26373041,76,74
27512623,74,71
25758535,72,69
24659314,70,70
24768740,70,66
24781794,68,67
30026385,67,62
30170321,67,51
24749671,66,63
25090406,66,60
25593860,65,61
23391697,62,62
29376193,62,59
30005104,62,57
30103545,62,10
24707077,61,52
26869056,61,58
29190362,61,57
29376209,61,57
30005095,60,58
30246226,60,54
30267588,60,60
25760897,58,56
26863030,58,56
30039791,58,48
26070247,57,53
30178235,57,55
30246961,57,53
27842935,56,56
21436062,55,54
29355495,55,50
30268838,55,54
27806111,54,53
27513422,53,47
27513446,53,46
30043315,53,52
24845540,52,47
26868950,52,50
30523360,52,49
30168832,51,49
30355216,51,48
25065343,50,49
30214837,50,47
24679596,49,47
24721394,49,47
24735544,49,48
24504287,48,47
24733700,48,46
24781169,48,44
25958874,48,46
26933351,48,46
27513460,48,40
30043132,48,47
30364340,48,44
24721349,47,42
29190355,47,42
30014672,47,42
30264533,47,44
27852897,46,43
30028222,46,44
23657311,45,45
24592406,45,30
24705141,45,34
24708180,45,40
25958676,45,42
30005043,45,41
30539315,45,40
24679329,44,40
24693059,44,44
25752212,44,43
26367385,44,39
30005093,44,36
30168817,44,44
30456238,44,41
24696012,43,40
24720014,43,41
30457655,43,43
30539474,43,40
24603775,42,36
25635423,42,39
25681130,42,39
25752250,42,41
28955771,42,41
30028225,42,40
30166373,42,40
24094436,41,41
24749978,41,38
24929752,41,38
20488925,40,37
24900195,40,39
24901277,40,38
26714455,40,32
28630517,40,39
30014671,40,37
30023874,40,35
30040350,40,40
30286296,40,36
30351756,40,35
21188602,39,38
23356597,39,33
24664400,39,38
25118094,39,31
26864839,39,33
26868905,39,39
27226698,39,35
28955696,39,38
30263048,39,38
30312885,39,36
24646161,38,34
24683890,38,37
24698726,38,38
26123424,38,35
26584539,38,37
26863474,38,37
30066812,38,33
30170320,38,33
30267584,38,35
24648592,37,37
25400182,37,37
27511916,37,34
27796641,37,35
30291088,37,36
30460260,37,34
24548199,36,34
24733755,36,32
25131000,36,34
26552712,36,34
27518076,36,33
27631980,36,34
