Sessions,SKU de produit,Nom des produits
12,25593860,Bloc béton creux B40 2 alvéoles - 20x20x50cm
9,24094429,Gravillon en big bag 1m3
7,24548106,"Plaque de plâtre standard PLACOPLATRE NF BA13 - 2,50 x 1,20 m"
6,24705479,"Plaque de plâtre standard PREGYPLAC BA13 - 2,50x1,20m"
5,24690461,Granulés de bois pour poêle à pellets sac de 15kg
5,28630517,Granulés de bois BIOSYL 5.0 pour poêle à pellets en sac de 15kg - MODELE SELON ARRIVAGE
4,24094436,Mélange à béton sable granulométrie 0/4mm et gravier 4/12mm en big bag 1m3
4,24696029,Sable à maçonner granulométrie 0/4mm en big bag 1m3
4,27631980,Ragréage ULTRAPLAN MAXI FIBRE - sac de 25kg
4,29013524,"Ciment LE CLASSIC CEM II/B-ll 32,5R CP2 NF sac de proctect - sac de 35kg"
3,24603775,"Plaque de plâtre hydrofuge PLACOMARINE BA13 - 2,50x1,20m"
3,24679510,"Madrier Sapin/Epicéa section 75x225mm long.4,00m"
3,24707077,"Plaque de plâtre hydrofuge PREGYDRO BA13 - 2,50 x 1,20 m"
3,24734752,Tuile MARSEILLE - rouge - 208
3,25118094,Toile de verre LOSANGE - 50x1m
3,25959123,Bloc béton creux B40 - 15x20x50cm
3,30028225,"Porte fenêtre PVC blanc VISION 2 vantaux ouverture à la française avec soubassement - Haut.2,15m larg.1,20m à crémone"
3,30246226,Enduit 2 en 1 garnissage et lissage - seau de 25kg
3,30362030,Porte coulissante BOTHA décor bambou rail invisible - 220 x 120 cm
2,20489366,"Tuile de verre ROMANE CANAL TBF N31- 44 x 27,6 cm"
2,21385117,Cheville corps creux HM-S+vis - 4x32mm - sachet 25 pièces
2,21550508,"Grillage simple torsion galvanisé maille 50 x 50 mm - rouleau 25 x 1,50 m"
2,21762031,Gaine TPC rouge D63 - couronne de 25m
2,24094320,"Gravillons granulométrie 6,3/20 en big-bag de 1m3"
2,24126977,"Câble électrique U1000R2V 3G1,5mm² - en couronne de 100 m - noir"
