Nom Magasin,Sessions,% de visiteurs qui reviennent,Visiteurs
GEDEX - LEVALLOIS-PERRET,68353,0.15170046303688328,62630
Aux Docks de Clamart - Clamart - E-commerce,1723,0.22264875239923224,1563
Sefor - Houilles - E-commerce,1067,0.23354564755838642,942
Cazorro Matériaux - Portet-sur-Garonne - E-commerce,893,0.2814526588845655,771
Faure - Villeurbanne,890,0.21454993834771888,811
,785,0.3696883852691218,706
Lesimple - Les Sorinières - E-commerce,769,0.2618343195266272,676
Boulard Verdier - Clermont-Ferrand - E-commerce,675,0.4342629482071713,502
Paris Nord Matériaux - Saint-Maur-des-Fossés,663,0.2703180212014134,566
Derrey - Laneuveville-devant-Nancy - E-commerce,458,0.27034120734908135,381
Guenée Matériaux - Sens-de-Bretagne,442,0.19664268585131894,417
Matériaux Normands - Bosgouet - E-commerce,421,0.30517711171662126,367
Agrimat - Fabrègues,409,0.2265193370165746,362
Labenne Rougier - Pessac - E-commerce,384,0.22485207100591717,338
Imbert - Fourmies - E-commerce,333,0.484,250
Castelli - Porto Vecchio - E-commerce,316,0.49356223175965663,233
Trichet - Hirson - E-commerce,291,0.5706806282722513,191
CGB Troyes - Lavau,290,0.35443037974683544,237
Matériaux Normands - Sainte-Marie-des-Champs - E-commerce,282,0.32217573221757323,239
Matériaux Normands - Totes - E-commerce,279,0.47058823529411764,221
Béarn Matériaux - Morlaas,278,0.2782258064516129,248
Favre dAnne - Détrier - E-commerce,278,0.22267206477732793,247
Labenne Rougier - Villenave-dOrnon - E-commerce,277,0.3652173913043478,230
Sosaca - Montauroux,272,0.13618677042801555,257
Talbot - Marennes,271,0.2643171806167401,227
Envain Matériaux - Baisieux,268,0.20675105485232068,237
Millancourt et Nicolas - Eu - E-commerce,264,0.5769230769230769,182
Matériaux Picards - Villers-Bretonneux - E-commerce,263,0.3394495412844037,218
Bracq - Orbec,257,0.1630901287553648,233
Vallier - Ville-la-Grand,255,0.2245762711864407,236
Ferrand - Vannes,244,0.2222222222222222,198
Ligouy - Épieds-en-Beauce,243,0.2,225
GBMC - Pirey,242,0.27751196172248804,209
Sophonet - Marseille,239,0.1963470319634703,219
MCF - Yzeure - E-commerce,229,0.4934210526315789,152
Sat Matériaux - Joué-lès-Tours,229,0.30392156862745096,204
